FeatureCode,DateCode,Measurement,Units,Value,Gender,Weight Category
S08000017,2005/2006,Ratio,Percent Of P1 Children,78.46,Female,Epidemiological - Healthy Weight
S08000016,2004/2005,Ratio,Percent Of P1 Children,74.83,Female,Epidemiological - Healthy Weight
S08000019,2012/2013,Ratio,Percent Of P1 Children,79.13,All,Epidemiological - Healthy Weight
S08000030,2004/2005,Ratio,Percent Of P1 Children,77.09,All,Epidemiological - Healthy Weight
S08000024,2014/2015,Ratio,Percent Of P1 Children,78.01,Female,Epidemiological - Healthy Weight
S08000030,2003/2004,Ratio,Percent Of P1 Children,77.01,Female,Epidemiological - Healthy Weight
S08000015,2010/2011,Ratio,Percent Of P1 Children,71.28,Male,Epidemiological - Healthy Weight
S08000030,2004/2005,Ratio,Percent Of P1 Children,77.66,Female,Epidemiological - Healthy Weight
S08000016,2011/2012,Ratio,Percent Of P1 Children,79.26,Female,Epidemiological - Healthy Weight
S08000022,2011/2012,Ratio,Percent Of P1 Children,77.59,Female,Epidemiological - Healthy Weight
S08000024,2003/2004,Ratio,Percent Of P1 Children,76.4,All,Epidemiological - Healthy Weight
S08000025,2012/2013,Ratio,Percent Of P1 Children,67.37,Male,Epidemiological - Healthy Weight
S92000003,2007/2008,Ratio,Percent Of P1 Children,77.07,All,Epidemiological - Healthy Weight
S92000003,2008/2009,Ratio,Percent Of P1 Children,78.33,Female,Epidemiological - Healthy Weight
S08000024,2012/2013,Ratio,Percent Of P1 Children,79.43,Female,Epidemiological - Healthy Weight
S08000031,2012/2013,Ratio,Percent Of P1 Children,78.34,Female,Epidemiological - Healthy Weight
S08000029,2013/2014,Ratio,Percent Of P1 Children,76.39,Female,Epidemiological - Healthy Weight
S08000019,2012/2013,Ratio,Percent Of P1 Children,78.73,Male,Epidemiological - Healthy Weight
S08000024,2014/2015,Ratio,Percent Of P1 Children,77.18,Male,Epidemiological - Healthy Weight
S92000003,2006/2007,Ratio,Percent Of P1 Children,77.5,Female,Epidemiological - Healthy Weight
S08000022,2017/2018,Ratio,Percent Of P1 Children,74.97,Female,Epidemiological - Healthy Weight
S08000029,2008/2009,Ratio,Percent Of P1 Children,78.8,Female,Epidemiological - Healthy Weight
S08000030,2005/2006,Ratio,Percent Of P1 Children,75.64,Female,Epidemiological - Healthy Weight
S08000022,2009/2010,Ratio,Percent Of P1 Children,75.07,Female,Epidemiological - Healthy Weight
S08000022,2012/2013,Ratio,Percent Of P1 Children,74.74,Male,Epidemiological - Healthy Weight
S08000029,2007/2008,Ratio,Percent Of P1 Children,76.94,Female,Epidemiological - Healthy Weight
S92000003,2011/2012,Ratio,Percent Of P1 Children,76.83,All,Epidemiological - Healthy Weight
S08000024,2004/2005,Ratio,Percent Of P1 Children,75.19,All,Epidemiological - Healthy Weight
S92000003,2005/2006,Ratio,Percent Of P1 Children,76.67,Female,Epidemiological - Healthy Weight
S08000026,2011/2012,Ratio,Percent Of P1 Children,73.65,Female,Epidemiological - Healthy Weight
S08000029,2001/2002,Ratio,Percent Of P1 Children,77.18,Female,Epidemiological - Healthy Weight
S92000003,2009/2010,Ratio,Percent Of P1 Children,77.75,Female,Epidemiological - Healthy Weight
S08000028,2016/2017,Ratio,Percent Of P1 Children,77.14,Female,Epidemiological - Healthy Weight
S08000026,2017/2018,Ratio,Percent Of P1 Children,77.42,Female,Epidemiological - Healthy Weight
S08000016,2008/2009,Ratio,Percent Of P1 Children,77.52,Female,Epidemiological - Healthy Weight
S08000031,2015/2016,Ratio,Percent Of P1 Children,77.73,Female,Epidemiological - Healthy Weight
S08000028,2018/2019,Ratio,Percent Of P1 Children,78.57,Female,Epidemiological - Healthy Weight
S08000019,2016/2017,Ratio,Percent Of P1 Children,78.44,Female,Epidemiological - Healthy Weight
S08000032,2012/2013,Ratio,Percent Of P1 Children,79.14,Female,Epidemiological - Healthy Weight
S08000019,2009/2010,Ratio,Percent Of P1 Children,77.65,Female,Epidemiological - Healthy Weight
S08000024,2009/2010,Ratio,Percent Of P1 Children,78.24,Female,Epidemiological - Healthy Weight
S08000015,2016/2017,Ratio,Percent Of P1 Children,74.6,Female,Epidemiological - Healthy Weight
S08000028,2007/2008,Ratio,Percent Of P1 Children,71.76,Female,Epidemiological - Healthy Weight
S08000025,2016/2017,Ratio,Percent Of P1 Children,78.57,Female,Epidemiological - Healthy Weight
S08000019,2010/2011,Ratio,Percent Of P1 Children,79.84,Female,Epidemiological - Healthy Weight
S92000003,2003/2004,Ratio,Percent Of P1 Children,76.15,Female,Epidemiological - Healthy Weight
S08000024,2007/2008,Ratio,Percent Of P1 Children,76.69,Female,Epidemiological - Healthy Weight
S08000019,2018/2019,Ratio,Percent Of P1 Children,77.05,Female,Epidemiological - Healthy Weight
S08000026,2008/2009,Ratio,Percent Of P1 Children,81.58,Female,Epidemiological - Healthy Weight
S08000019,2006/2007,Ratio,Percent Of P1 Children,79.24,Female,Epidemiological - Healthy Weight
S08000016,2007/2008,Ratio,Percent Of P1 Children,79.54,Female,Epidemiological - Healthy Weight
S08000015,2009/2010,Ratio,Percent Of P1 Children,76.85,Female,Epidemiological - Healthy Weight
S08000031,2016/2017,Ratio,Percent Of P1 Children,77.79,Female,Epidemiological - Healthy Weight
S08000017,2010/2011,Ratio,Percent Of P1 Children,77.13,Female,Epidemiological - Healthy Weight
S08000030,2018/2019,Ratio,Percent Of P1 Children,77.74,Female,Epidemiological - Healthy Weight
S92000003,2013/2014,Ratio,Percent Of P1 Children,77.04,Female,Epidemiological - Healthy Weight
S08000031,2014/2015,Ratio,Percent Of P1 Children,78.68,Female,Epidemiological - Healthy Weight
S08000028,2014/2015,Ratio,Percent Of P1 Children,67,Female,Epidemiological - Healthy Weight
S08000031,2017/2018,Ratio,Percent Of P1 Children,78.47,Female,Epidemiological - Healthy Weight
S08000030,2015/2016,Ratio,Percent Of P1 Children,75.38,Female,Epidemiological - Healthy Weight
S08000030,2008/2009,Ratio,Percent Of P1 Children,77.28,Female,Epidemiological - Healthy Weight
S08000028,2015/2016,Ratio,Percent Of P1 Children,84.07,Female,Epidemiological - Healthy Weight
S08000017,2016/2017,Ratio,Percent Of P1 Children,70.55,Female,Epidemiological - Healthy Weight
S08000024,2015/2016,Ratio,Percent Of P1 Children,77.93,Female,Epidemiological - Healthy Weight
S08000016,2016/2017,Ratio,Percent Of P1 Children,78.58,Female,Epidemiological - Healthy Weight
S08000032,2011/2012,Ratio,Percent Of P1 Children,78.43,Female,Epidemiological - Healthy Weight
S08000030,2013/2014,Ratio,Percent Of P1 Children,76.2,Female,Epidemiological - Healthy Weight
S08000024,2018/2019,Ratio,Percent Of P1 Children,79.35,Female,Epidemiological - Healthy Weight
S08000031,2006/2007,Ratio,Percent Of P1 Children,77.87,Female,Epidemiological - Healthy Weight
S08000032,2007/2008,Ratio,Percent Of P1 Children,77.59,Female,Epidemiological - Healthy Weight
S08000019,2012/2013,Ratio,Percent Of P1 Children,79.53,Female,Epidemiological - Healthy Weight
S08000030,2011/2012,Ratio,Percent Of P1 Children,75.25,Female,Epidemiological - Healthy Weight
S08000028,2012/2013,Ratio,Percent Of P1 Children,75.22,Female,Epidemiological - Healthy Weight
S92000003,2001/2002,Ratio,Percent Of P1 Children,77.06,Female,Epidemiological - Healthy Weight
S08000015,2015/2016,Ratio,Percent Of P1 Children,74.65,Female,Epidemiological - Healthy Weight
S08000016,2006/2007,Ratio,Percent Of P1 Children,80.04,Female,Epidemiological - Healthy Weight
S92000003,2017/2018,Ratio,Percent Of P1 Children,77.41,Female,Epidemiological - Healthy Weight
S08000017,2015/2016,Ratio,Percent Of P1 Children,72.54,Female,Epidemiological - Healthy Weight
S08000030,2007/2008,Ratio,Percent Of P1 Children,79.99,Female,Epidemiological - Healthy Weight
S92000003,2014/2015,Ratio,Percent Of P1 Children,77.71,Female,Epidemiological - Healthy Weight
S08000025,2011/2012,Ratio,Percent Of P1 Children,68.64,Female,Epidemiological - Healthy Weight
S08000017,2007/2008,Ratio,Percent Of P1 Children,76.2,Female,Epidemiological - Healthy Weight
S08000024,2005/2006,Ratio,Percent Of P1 Children,77.43,Female,Epidemiological - Healthy Weight
S08000028,2005/2006,Ratio,Percent Of P1 Children,74.58,Female,Epidemiological - Healthy Weight
S08000017,2004/2005,Ratio,Percent Of P1 Children,71.64,Female,Epidemiological - Healthy Weight
S92000003,2010/2011,Ratio,Percent Of P1 Children,78.06,Female,Epidemiological - Healthy Weight
S08000024,2010/2011,Ratio,Percent Of P1 Children,77.61,Female,Epidemiological - Healthy Weight
S08000025,2012/2013,Ratio,Percent Of P1 Children,78.26,Female,Epidemiological - Healthy Weight
S92000003,2004/2005,Ratio,Percent Of P1 Children,76.65,Female,Epidemiological - Healthy Weight
S08000028,2006/2007,Ratio,Percent Of P1 Children,75.51,Female,Epidemiological - Healthy Weight
S08000017,2017/2018,Ratio,Percent Of P1 Children,74.48,Female,Epidemiological - Healthy Weight
S08000024,2008/2009,Ratio,Percent Of P1 Children,77.12,Female,Epidemiological - Healthy Weight
S08000029,2015/2016,Ratio,Percent Of P1 Children,78.58,Female,Epidemiological - Healthy Weight
S92000003,2002/2003,Ratio,Percent Of P1 Children,76.38,Female,Epidemiological - Healthy Weight
S08000022,2013/2014,Ratio,Percent Of P1 Children,75.9,Female,Epidemiological - Healthy Weight
S08000020,2009/2010,Ratio,Percent Of P1 Children,79.16,Female,Epidemiological - Healthy Weight
S08000016,2015/2016,Ratio,Percent Of P1 Children,77.48,Female,Epidemiological - Healthy Weight
S08000032,2013/2014,Ratio,Percent Of P1 Children,78.14,Female,Epidemiological - Healthy Weight
S08000030,2012/2013,Ratio,Percent Of P1 Children,78.24,Female,Epidemiological - Healthy Weight
S08000017,2011/2012,Ratio,Percent Of P1 Children,75.86,Female,Epidemiological - Healthy Weight
S08000019,2005/2006,Ratio,Percent Of P1 Children,77.32,Female,Epidemiological - Healthy Weight
S08000025,2010/2011,Ratio,Percent Of P1 Children,75.68,Female,Epidemiological - Healthy Weight
S08000024,2006/2007,Ratio,Percent Of P1 Children,76.61,Female,Epidemiological - Healthy Weight
S08000024,2016/2017,Ratio,Percent Of P1 Children,76.48,Female,Epidemiological - Healthy Weight
S08000017,2014/2015,Ratio,Percent Of P1 Children,76.51,Female,Epidemiological - Healthy Weight
S08000028,2011/2012,Ratio,Percent Of P1 Children,76.76,Female,Epidemiological - Healthy Weight
S08000022,2014/2015,Ratio,Percent Of P1 Children,75.18,Female,Epidemiological - Healthy Weight
S08000020,2016/2017,Ratio,Percent Of P1 Children,77.75,Female,Epidemiological - Healthy Weight
S08000022,2015/2016,Ratio,Percent Of P1 Children,76.19,Female,Epidemiological - Healthy Weight
S08000028,2013/2014,Ratio,Percent Of P1 Children,73.23,Female,Epidemiological - Healthy Weight
S08000019,2010/2011,Ratio,Percent Of P1 Children,79.05,All,Epidemiological - Healthy Weight
S08000016,2018/2019,Ratio,Percent Of P1 Children,75.96,Female,Epidemiological - Healthy Weight
S08000032,2017/2018,Ratio,Percent Of P1 Children,78.05,Female,Epidemiological - Healthy Weight
S08000025,2010/2011,Ratio,Percent Of P1 Children,72.41,Male,Epidemiological - Healthy Weight
S08000025,2013/2014,Ratio,Percent Of P1 Children,79.57,Female,Epidemiological - Healthy Weight
S08000024,2008/2009,Ratio,Percent Of P1 Children,74.89,Male,Epidemiological - Healthy Weight
S08000026,2016/2017,Ratio,Percent Of P1 Children,78.13,Female,Epidemiological - Healthy Weight
S08000019,2007/2008,Ratio,Percent Of P1 Children,80.64,Female,Epidemiological - Healthy Weight
S08000016,2013/2014,Ratio,Percent Of P1 Children,75.31,Female,Epidemiological - Healthy Weight
S08000026,2010/2011,Ratio,Percent Of P1 Children,79.49,Female,Epidemiological - Healthy Weight
S08000022,2009/2010,Ratio,Percent Of P1 Children,74.1,Male,Epidemiological - Healthy Weight
S08000022,2012/2013,Ratio,Percent Of P1 Children,77.58,Female,Epidemiological - Healthy Weight
S08000032,2004/2005,Ratio,Percent Of P1 Children,76.96,Female,Epidemiological - Healthy Weight
S08000030,2002/2003,Ratio,Percent Of P1 Children,77.42,Female,Epidemiological - Healthy Weight
S08000019,2008/2009,Ratio,Percent Of P1 Children,78.67,Female,Epidemiological - Healthy Weight
S92000003,2007/2008,Ratio,Percent Of P1 Children,78.03,Female,Epidemiological - Healthy Weight
S08000026,2014/2015,Ratio,Percent Of P1 Children,72.82,All,Epidemiological - Healthy Weight
S08000031,2018/2019,Ratio,Percent Of P1 Children,78.06,Female,Epidemiological - Healthy Weight
S08000024,2017/2018,Ratio,Percent Of P1 Children,78.63,Female,Epidemiological - Healthy Weight
S08000022,2018/2019,Ratio,Percent Of P1 Children,75.08,Female,Epidemiological - Healthy Weight
S08000031,2007/2008,Ratio,Percent Of P1 Children,81.37,Female,Epidemiological - Healthy Weight
S08000028,2008/2009,Ratio,Percent Of P1 Children,76.42,Male,Epidemiological - Healthy Weight
S08000015,2013/2014,Ratio,Percent Of P1 Children,72.71,Female,Epidemiological - Healthy Weight
S08000024,2003/2004,Ratio,Percent Of P1 Children,77.71,Female,Epidemiological - Healthy Weight
S08000017,2004/2005,Ratio,Percent Of P1 Children,74.24,All,Epidemiological - Healthy Weight
S08000024,2001/2002,Ratio,Percent Of P1 Children,74.36,Female,Epidemiological - Healthy Weight
S08000020,2018/2019,Ratio,Percent Of P1 Children,78.18,Female,Epidemiological - Healthy Weight
S08000025,2011/2012,Ratio,Percent Of P1 Children,70.43,Male,Epidemiological - Healthy Weight
S08000019,2011/2012,Ratio,Percent Of P1 Children,77.47,All,Epidemiological - Healthy Weight
S08000022,2013/2014,Ratio,Percent Of P1 Children,74.01,Male,Epidemiological - Healthy Weight
S08000026,2013/2014,Ratio,Percent Of P1 Children,81.54,All,Epidemiological - Healthy Weight
S08000016,2008/2009,Ratio,Percent Of P1 Children,77.8,All,Epidemiological - Healthy Weight
S08000015,2011/2012,Ratio,Percent Of P1 Children,72.6,Male,Epidemiological - Healthy Weight
S08000025,2017/2018,Ratio,Percent Of P1 Children,76.92,Female,Epidemiological - Healthy Weight
S92000003,2013/2014,Ratio,Percent Of P1 Children,76.32,All,Epidemiological - Healthy Weight
S08000029,2018/2019,Ratio,Percent Of P1 Children,79.59,Female,Epidemiological - Healthy Weight
S08000017,2012/2013,Ratio,Percent Of P1 Children,77.58,Female,Epidemiological - Healthy Weight
S08000024,2002/2003,Ratio,Percent Of P1 Children,72.41,Female,Epidemiological - Healthy Weight
S08000019,2015/2016,Ratio,Percent Of P1 Children,77.16,Female,Epidemiological - Healthy Weight
S92000003,2012/2013,Ratio,Percent Of P1 Children,78.43,Female,Epidemiological - Healthy Weight
S08000024,2011/2012,Ratio,Percent Of P1 Children,78.39,Female,Epidemiological - Healthy Weight
S08000032,2002/2003,Ratio,Percent Of P1 Children,77.1,Female,Epidemiological - Healthy Weight
S08000025,2014/2015,Ratio,Percent Of P1 Children,81.63,Female,Epidemiological - Healthy Weight
S92000003,2011/2012,Ratio,Percent Of P1 Children,77.74,Female,Epidemiological - Healthy Weight
S08000017,2008/2009,Ratio,Percent Of P1 Children,76.61,Female,Epidemiological - Healthy Weight
S08000020,2010/2011,Ratio,Percent Of P1 Children,80.41,Female,Epidemiological - Healthy Weight
S08000031,2013/2014,Ratio,Percent Of P1 Children,79.05,Female,Epidemiological - Healthy Weight
S08000017,2018/2019,Ratio,Percent Of P1 Children,75.37,Female,Epidemiological - Healthy Weight
S08000032,2003/2004,Ratio,Percent Of P1 Children,75.54,Female,Epidemiological - Healthy Weight
S08000030,2016/2017,Ratio,Percent Of P1 Children,76.45,Female,Epidemiological - Healthy Weight
S92000003,2018/2019,Ratio,Percent Of P1 Children,77.74,Female,Epidemiological - Healthy Weight
S08000017,2013/2014,Ratio,Percent Of P1 Children,76.62,Female,Epidemiological - Healthy Weight
S08000022,2016/2017,Ratio,Percent Of P1 Children,75.71,Female,Epidemiological - Healthy Weight
S08000032,2015/2016,Ratio,Percent Of P1 Children,78.11,Female,Epidemiological - Healthy Weight
S08000028,2008/2009,Ratio,Percent Of P1 Children,73.95,Female,Epidemiological - Healthy Weight
S08000030,2014/2015,Ratio,Percent Of P1 Children,75.67,Female,Epidemiological - Healthy Weight
S08000015,2007/2008,Ratio,Percent Of P1 Children,76.82,Female,Epidemiological - Healthy Weight
S08000032,2014/2015,Ratio,Percent Of P1 Children,78.91,Female,Epidemiological - Healthy Weight
S08000017,2009/2010,Ratio,Percent Of P1 Children,75.96,Female,Epidemiological - Healthy Weight
S08000032,2008/2009,Ratio,Percent Of P1 Children,79.93,Female,Epidemiological - Healthy Weight
S08000028,2009/2010,Ratio,Percent Of P1 Children,76.09,Female,Epidemiological - Healthy Weight
S08000028,2010/2011,Ratio,Percent Of P1 Children,70.23,Female,Epidemiological - Healthy Weight
S92000003,2016/2017,Ratio,Percent Of P1 Children,76.73,Female,Epidemiological - Healthy Weight
S08000025,2015/2016,Ratio,Percent Of P1 Children,75,Female,Epidemiological - Healthy Weight
S08000032,2010/2011,Ratio,Percent Of P1 Children,80.61,Female,Epidemiological - Healthy Weight
S08000016,2005/2006,Ratio,Percent Of P1 Children,78.27,Female,Epidemiological - Healthy Weight
S08000020,2015/2016,Ratio,Percent Of P1 Children,77.79,Female,Epidemiological - Healthy Weight
S08000015,2011/2012,Ratio,Percent Of P1 Children,75.76,Female,Epidemiological - Healthy Weight
S08000015,2018/2019,Ratio,Percent Of P1 Children,76.69,Female,Epidemiological - Healthy Weight
S08000029,2016/2017,Ratio,Percent Of P1 Children,75.89,Female,Epidemiological - Healthy Weight
S08000032,2009/2010,Ratio,Percent Of P1 Children,80.15,Female,Epidemiological - Healthy Weight
S08000015,2008/2009,Ratio,Percent Of P1 Children,80.1,Female,Epidemiological - Healthy Weight
S08000032,2001/2002,Ratio,Percent Of P1 Children,77.47,Female,Epidemiological - Healthy Weight
S08000016,2012/2013,Ratio,Percent Of P1 Children,81.09,Female,Epidemiological - Healthy Weight
S08000019,2011/2012,Ratio,Percent Of P1 Children,77.07,Female,Epidemiological - Healthy Weight
S08000024,2004/2005,Ratio,Percent Of P1 Children,76.9,Female,Epidemiological - Healthy Weight
S08000026,2018/2019,Ratio,Percent Of P1 Children,83.33,Female,Epidemiological - Healthy Weight
S08000030,2009/2010,Ratio,Percent Of P1 Children,76.24,Female,Epidemiological - Healthy Weight
S08000020,2016/2017,Ratio,Percent Of P1 Children,76.81,All,Epidemiological - Healthy Weight
S08000028,2016/2017,Ratio,Percent Of P1 Children,78.57,All,Epidemiological - Healthy Weight
S92000003,2014/2015,Ratio,Percent Of P1 Children,76.43,Male,Epidemiological - Healthy Weight
S08000019,2016/2017,Ratio,Percent Of P1 Children,77.94,All,Epidemiological - Healthy Weight
S08000026,2017/2018,Ratio,Percent Of P1 Children,72.48,Male,Epidemiological - Healthy Weight
S08000017,2017/2018,Ratio,Percent Of P1 Children,75.18,Male,Epidemiological - Healthy Weight
S08000015,2015/2016,Ratio,Percent Of P1 Children,74.14,Male,Epidemiological - Healthy Weight
S08000030,2016/2017,Ratio,Percent Of P1 Children,75.01,All,Epidemiological - Healthy Weight
S92000003,2010/2011,Ratio,Percent Of P1 Children,75.36,Male,Epidemiological - Healthy Weight
S08000022,2015/2016,Ratio,Percent Of P1 Children,76.05,Male,Epidemiological - Healthy Weight
S08000030,2015/2016,Ratio,Percent Of P1 Children,75.89,All,Epidemiological - Healthy Weight
S08000024,2008/2009,Ratio,Percent Of P1 Children,75.98,All,Epidemiological - Healthy Weight
S08000019,2006/2007,Ratio,Percent Of P1 Children,78.17,All,Epidemiological - Healthy Weight
S08000025,2014/2015,Ratio,Percent Of P1 Children,77.93,All,Epidemiological - Healthy Weight
S08000016,2015/2016,Ratio,Percent Of P1 Children,79.72,Male,Epidemiological - Healthy Weight
S08000020,2015/2016,Ratio,Percent Of P1 Children,74.16,Male,Epidemiological - Healthy Weight
S92000003,2004/2005,Ratio,Percent Of P1 Children,74.44,Male,Epidemiological - Healthy Weight
S08000016,2005/2006,Ratio,Percent Of P1 Children,77.32,All,Epidemiological - Healthy Weight
S92000003,2016/2017,Ratio,Percent Of P1 Children,76.14,All,Epidemiological - Healthy Weight
S92000003,2017/2018,Ratio,Percent Of P1 Children,75.49,Male,Epidemiological - Healthy Weight
S08000025,2012/2013,Ratio,Percent Of P1 Children,73.33,All,Epidemiological - Healthy Weight
S08000017,2016/2017,Ratio,Percent Of P1 Children,70.21,All,Epidemiological - Healthy Weight
S08000024,2007/2008,Ratio,Percent Of P1 Children,75.25,All,Epidemiological - Healthy Weight
S92000003,2002/2003,Ratio,Percent Of P1 Children,74.82,Male,Epidemiological - Healthy Weight
S08000028,2017/2018,Ratio,Percent Of P1 Children,75,Male,Epidemiological - Healthy Weight
S08000025,2013/2014,Ratio,Percent Of P1 Children,68.06,All,Epidemiological - Healthy Weight
S92000003,2001/2002,Ratio,Percent Of P1 Children,74.69,Male,Epidemiological - Healthy Weight
S08000024,2016/2017,Ratio,Percent Of P1 Children,75.99,All,Epidemiological - Healthy Weight
S08000029,2016/2017,Ratio,Percent Of P1 Children,75.95,All,Epidemiological - Healthy Weight
S08000017,2004/2005,Ratio,Percent Of P1 Children,76.51,Male,Epidemiological - Healthy Weight
S08000025,2016/2017,Ratio,Percent Of P1 Children,74.48,All,Epidemiological - Healthy Weight
S08000015,2016/2017,Ratio,Percent Of P1 Children,73.75,All,Epidemiological - Healthy Weight
S08000025,2010/2011,Ratio,Percent Of P1 Children,74.24,All,Epidemiological - Healthy Weight
S08000025,2015/2016,Ratio,Percent Of P1 Children,72.83,Male,Epidemiological - Healthy Weight
S08000024,2006/2007,Ratio,Percent Of P1 Children,74.88,All,Epidemiological - Healthy Weight
S08000029,2008/2009,Ratio,Percent Of P1 Children,76.08,Male,Epidemiological - Healthy Weight
S08000029,2007/2008,Ratio,Percent Of P1 Children,73.97,Male,Epidemiological - Healthy Weight
S08000024,2015/2016,Ratio,Percent Of P1 Children,77.21,Male,Epidemiological - Healthy Weight
S08000019,2005/2006,Ratio,Percent Of P1 Children,75.4,All,Epidemiological - Healthy Weight
S08000028,2015/2016,Ratio,Percent Of P1 Children,80.54,Male,Epidemiological - Healthy Weight
S08000016,2004/2005,Ratio,Percent Of P1 Children,73.46,All,Epidemiological - Healthy Weight
S08000016,2003/2004,Ratio,Percent Of P1 Children,76.25,All,Epidemiological - Healthy Weight
S08000016,2001/2002,Ratio,Percent Of P1 Children,76.6,All,Epidemiological - Healthy Weight
S08000017,2015/2016,Ratio,Percent Of P1 Children,71.72,Male,Epidemiological - Healthy Weight
S08000024,2015/2016,Ratio,Percent Of P1 Children,77.57,All,Epidemiological - Healthy Weight
S08000019,2015/2016,Ratio,Percent Of P1 Children,75.92,Male,Epidemiological - Healthy Weight
S92000003,2011/2012,Ratio,Percent Of P1 Children,75.95,Male,Epidemiological - Healthy Weight
S92000003,2013/2014,Ratio,Percent Of P1 Children,75.63,Male,Epidemiological - Healthy Weight
S08000030,2014/2015,Ratio,Percent Of P1 Children,75.08,All,Epidemiological - Healthy Weight
S92000003,2012/2013,Ratio,Percent Of P1 Children,76.63,Male,Epidemiological - Healthy Weight
S92000003,2009/2010,Ratio,Percent Of P1 Children,76.05,Male,Epidemiological - Healthy Weight
S08000028,2006/2007,Ratio,Percent Of P1 Children,78.42,All,Epidemiological - Healthy Weight
S08000028,2005/2006,Ratio,Percent Of P1 Children,73.6,All,Epidemiological - Healthy Weight
S08000020,2014/2015,Ratio,Percent Of P1 Children,76.89,All,Epidemiological - Healthy Weight
S08000025,2011/2012,Ratio,Percent Of P1 Children,69.53,All,Epidemiological - Healthy Weight
S08000024,2005/2006,Ratio,Percent Of P1 Children,75.67,All,Epidemiological - Healthy Weight
S08000029,2009/2010,Ratio,Percent Of P1 Children,74.65,Male,Epidemiological - Healthy Weight
S08000016,2006/2007,Ratio,Percent Of P1 Children,77.9,All,Epidemiological - Healthy Weight
S08000016,2016/2017,Ratio,Percent Of P1 Children,76.74,All,Epidemiological - Healthy Weight
S92000003,2015/2016,Ratio,Percent Of P1 Children,76.23,Male,Epidemiological - Healthy Weight
S08000026,2015/2016,Ratio,Percent Of P1 Children,76,Male,Epidemiological - Healthy Weight
S08000017,2018/2019,Ratio,Percent Of P1 Children,71.95,Male,Epidemiological - Healthy Weight
S08000030,2011/2012,Ratio,Percent Of P1 Children,76.11,All,Epidemiological - Healthy Weight
S92000003,2018/2019,Ratio,Percent Of P1 Children,75.46,Male,Epidemiological - Healthy Weight
S08000019,2018/2019,Ratio,Percent Of P1 Children,76.95,Male,Epidemiological - Healthy Weight
S08000030,2013/2014,Ratio,Percent Of P1 Children,76.24,All,Epidemiological - Healthy Weight
S08000017,2005/2006,Ratio,Percent Of P1 Children,75.65,All,Epidemiological - Healthy Weight
S08000028,2018/2019,Ratio,Percent Of P1 Children,64.81,Male,Epidemiological - Healthy Weight
S92000003,2005/2006,Ratio,Percent Of P1 Children,75.12,All,Epidemiological - Healthy Weight
S08000020,2010/2011,Ratio,Percent Of P1 Children,78.72,All,Epidemiological - Healthy Weight
S08000026,2018/2019,Ratio,Percent Of P1 Children,76.47,Male,Epidemiological - Healthy Weight
S08000025,2018/2019,Ratio,Percent Of P1 Children,58.93,Male,Epidemiological - Healthy Weight
S08000020,2018/2019,Ratio,Percent Of P1 Children,78.18,Male,Epidemiological - Healthy Weight
S08000024,2011/2012,Ratio,Percent Of P1 Children,77.17,All,Epidemiological - Healthy Weight
S08000020,2013/2014,Ratio,Percent Of P1 Children,74.66,All,Epidemiological - Healthy Weight
S08000031,2011/2012,Ratio,Percent Of P1 Children,77.59,All,Epidemiological - Healthy Weight
S08000031,2018/2019,Ratio,Percent Of P1 Children,75.85,Male,Epidemiological - Healthy Weight
S08000029,2018/2019,Ratio,Percent Of P1 Children,76.27,Male,Epidemiological - Healthy Weight
S08000017,2006/2007,Ratio,Percent Of P1 Children,73.97,All,Epidemiological - Healthy Weight
S08000032,2001/2002,Ratio,Percent Of P1 Children,76.13,Male,Epidemiological - Healthy Weight
S08000029,2006/2007,Ratio,Percent Of P1 Children,73.91,All,Epidemiological - Healthy Weight
S08000024,2010/2011,Ratio,Percent Of P1 Children,76.52,All,Epidemiological - Healthy Weight
S08000030,2009/2010,Ratio,Percent Of P1 Children,76.51,All,Epidemiological - Healthy Weight
S08000022,2018/2019,Ratio,Percent Of P1 Children,69.93,Male,Epidemiological - Healthy Weight
S08000032,2003/2004,Ratio,Percent Of P1 Children,74.13,Male,Epidemiological - Healthy Weight
S08000032,2002/2003,Ratio,Percent Of P1 Children,75.8,Male,Epidemiological - Healthy Weight
S08000032,2004/2005,Ratio,Percent Of P1 Children,75.25,Male,Epidemiological - Healthy Weight
S08000032,2017/2018,Ratio,Percent Of P1 Children,75.04,Male,Epidemiological - Healthy Weight
S08000031,2017/2018,Ratio,Percent Of P1 Children,76.62,Male,Epidemiological - Healthy Weight
S08000030,2012/2013,Ratio,Percent Of P1 Children,76.81,All,Epidemiological - Healthy Weight
S08000024,2009/2010,Ratio,Percent Of P1 Children,76.34,All,Epidemiological - Healthy Weight
S08000024,2002/2003,Ratio,Percent Of P1 Children,70.64,Male,Epidemiological - Healthy Weight
S08000024,2004/2005,Ratio,Percent Of P1 Children,73.48,Male,Epidemiological - Healthy Weight
S08000024,2003/2004,Ratio,Percent Of P1 Children,75.12,Male,Epidemiological - Healthy Weight
S08000031,2008/2009,Ratio,Percent Of P1 Children,81.09,All,Epidemiological - Healthy Weight
S08000030,2008/2009,Ratio,Percent Of P1 Children,76.1,All,Epidemiological - Healthy Weight
S08000019,2017/2018,Ratio,Percent Of P1 Children,75.71,Male,Epidemiological - Healthy Weight
S08000029,2015/2016,Ratio,Percent Of P1 Children,77.2,All,Epidemiological - Healthy Weight
